ko	category	color	source_pathway
K00074	benzoate_degradation	#d55e00	00362
K00252	benzoate_degradation	#d55e00	00362
K00448	benzoate_degradation	#d55e00	00362
K00449	benzoate_degradation	#d55e00	00362
K00481	benzoate_degradation	#d55e00	00362
K00529	benzoate_degradation	#d55e00	00362
K00626	benzoate_degradation	#d55e00	00362
K01031	benzoate_degradation	#d55e00	00362
K01032	benzoate_degradation	#d55e00	00362
K01055	benzoate_degradation	#d55e00	00362
K01075	benzoate_degradation	#d55e00	00362
K01607	benzoate_degradation	#d55e00	00362
K01615	benzoate_degradation	#d55e00	00362
K01857	benzoate_degradation	#d55e00	00362
K03464	benzoate_degradation	#d55e00	00362
K04112	benzoate_degradation	#d55e00	00362
K04113	benzoate_degradation	#d55e00	00362
K04114	benzoate_degradation	#d55e00	00362
K04115	benzoate_degradation	#d55e00	00362
K04116	benzoate_degradation	#d55e00	00362
K04117	benzoate_degradation	#d55e00	00362
K04118	benzoate_degradation	#d55e00	00362
K04755	benzoate_degradation	#d55e00	00362
K07516	benzoate_degradation	#d55e00	00362
K07534	benzoate_degradation	#d55e00	00362
K07535	benzoate_degradation	#d55e00	00362
K07536	benzoate_degradation	#d55e00	00362
K07537	benzoate_degradation	#d55e00	00362
K07538	benzoate_degradation	#d55e00	00362
K07539	benzoate_degradation	#d55e00	00362
K07823	benzoate_degradation	#d55e00	00362
K10218	benzoate_degradation	#d55e00	00362
K10220	benzoate_degradation	#d55e00	00362
K13767	benzoate_degradation	#d55e00	00362
K14334	benzoate_degradation	#d55e00	00362
K14727	benzoate_degradation	#d55e00	00362
K15511	benzoate_degradation	#d55e00	00362
K15512	benzoate_degradation	#d55e00	00362
K15513	benzoate_degradation	#d55e00	00362
K15514	benzoate_degradation	#d55e00	00362
K16173	benzoate_degradation	#d55e00	00362
K16514	benzoate_degradation	#d55e00	00362
K16515	benzoate_degradation	#d55e00	00362
K19065	benzoate_degradation	#d55e00	00362
K19066	benzoate_degradation	#d55e00	00362
K19067	benzoate_degradation	#d55e00	00362
K19515	benzoate_degradation	#d55e00	00362
K19516	benzoate_degradation	#d55e00	00362
K20509	benzoate_degradation	#d55e00	00362
K20941	benzoate_degradation	#d55e00	00362
K20942	benzoate_degradation	#d55e00	00362
K20943	benzoate_degradation	#d55e00	00362
K20944	benzoate_degradation	#d55e00	00362
K22270	benzoate_degradation	#d55e00	00362
K22553	benzoate_degradation	#d55e00	00362
K23351	benzoate_degradation	#d55e00	00362
K23352	benzoate_degradation	#d55e00	00362
K27499	benzoate_degradation	#d55e00	00362
