genome_id,todC1_bedC1,todC2_bedC2,todB,todA,todD,tomA1,tomA2,tomA3,tomA4,tomA5,tmoA_tbuA1_touA,tmoB_tbuU_touB,tmoC_tbuB_touC,tmoD_tbuV_touD,tmoE_tbuA2,tmoF_tbuC_touF,catA,xylE,bssA,bssB,xylA,xylM,edoA1,edoA2,ndoB,ebdA,ebdB,ebdC,bcrA_type_II,bcrA_type_I,Citations,
Pseudomonas_putida_F1__GCA_000281215.1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,10.1128/AEM.54.6.1498-1503.1988,10.1016/S0021-9258(18)63793-7
Pseudomonas_putida_DOT-T1E_GCA_000281215.1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,10.1016/S0378-1119(99)00113-4,10.1111/1751-7915.12061
Pseudomonas_veronii_1YdBTEX21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,NA,NA,0,0,0,0,0,0,10.1371/journal.pone.0165850,10.1128/AEM.03026-15
Thauera_aromatica_K172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,10.1007/s00203-001-0375-1,10.1046/j.1432-1327.1998.2560148.x
Acinetobacter_sp._tol_5_GCA_019702905.1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,10.1016/j.jbiosc.2025.07.010 ,10.1128/MRA.00567-21
Thauera_sp._DNT-1__GCA_001310835.1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10.1128/AEM.70.3.1385-1392.2004,10.1128/AEM.70.3.1385-1392.2004
cupriavidus_metallidurans_CH34_GCA_000196015.1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,10.3390/microorganisms10020484,10.1371/journal.pone.0010433
Halioxenophilus_aromaticivorans_KU68F__GCA_042850945.1_ASM4285094v1_genomic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,10.1093/femsle/fny042,10.1128/mra.00873-24
paraburkholderia_aromaticivorans_strain_BN5_pBN2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,10.1038/s41598-018-36165-x,10.1099/ijsem.0.002661
pseudomonas_putida_mt2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,10.1046/j.1462-2920.2002.00305.x,10.1073/pnas.78.12.7458
Pseudomonas_sp._OX1_tou_gene_cluster_proteins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,10.1128/AEM.64.10.3626-3632.1998,10.1128/AEM.62.10.3704-3711.1996
Geopseudomonas aromaticivorans MAP12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10.3389/fmicb.2022.929128,10.3389/fmicb.2023.1273665
Sphingobium sp. AS12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,10.1021/acs.est.2c09283,
Cupriavidus cauae strain PHS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,10.4014/jmb.2301.01011,10.1007/s002530100608
