HMM,Accession ID,Enzyme Name,Species,Validation Level,DOI
tmoA_tbuA1_touA,Q00456,"Toluene-4-monooxygenase system, hydroxylase component subunit alpha",Ectopseudomonas mendocina,experimental,10.1128/jb.173.17.5315-5327.1991
,BFJ75517.1,"Toluene-4-monooxygenase system, hydroxylase component subunit alpha",Cupriavidus sp. LA-1,putative,10.4014/jmb.2301.01011
,AAB09618.1,toluene-3-monooxygenase oxygenase subunit,Ralstonia pickettii,experimental,10.1128/jb.176.12.3749-3756.1994
,ALP69204.1,toluene o-xylene monooxygenase oxygenase subunit TouA,Stutzerimonas stutzeri,experimental,10.1128/AEM.64.10.3626-3632.1998
,AAT40431.1,toluene o-xylene monooxygenase component,Pseudomonas sp. OX1,experimental,10.1128/AEM.64.10.3626-3632.1998
,CAA06654.1,"toluene, o-xylene monooxygenase oxygenase subunit",Pseudomonas sp. OX1,experimental,10.1128/AEM.64.10.3626-3632.1998
tmoB_tbuU_touB,QCT24446.1,TmoB,Ectopseudomonas oleovorans,experimental,10.1128/jb.173.9.3010-3016.1991
,WP_218313212.1,toluene-4-monooxygenase system hydroxylase subunit gamma TmoB,Alteromonas antoniana,experimental,10.1021/bi900144a
,WP_027854930.1,toluene-4-monooxygenase system hydroxylase subunit gamma TmoB,Marinobacterium litorale,experimental,10.1128/jb.173.9.3010-3016.1991
,Q00457,"Toluene-4-monooxygenase system, hydroxylase component subunit gamma",Ectopseudomonas mendocina,experimental,10.1128/jb.173.17.5315-5327.1991
,AAS48548.1,gamma hydroxylase subunit,Ralstonia pickettii,putative,10.1021/bi900144a and 10.1021/bi901150a
tmoC_tbuB_touC,QCT24445.1,TmoC,Ectopseudomonas oleovorans,putative,10.1128/jb.173.17.5315-5327.1991
,WP_196694643.1,toluene-4-monooxygenase system ferredoxin TmoC,Pseudomonadaceae,putative,10.1128/jb.173.17.5315-5327.1991
,WP_354409929.1,toluene-4-monooxygenase system ferredoxin TmoC,unclassified Marinobacterium,putative,10.1128/jb.173.17.5315-5327.1991
,WP_290703946.1,toluene-4-monooxygenase system ferredoxin TmoC,Amphritea sp.,putative,10.1128/jb.173.17.5315-5327.1991
,Q00458,"Toluene-4-monooxygenase system, ferredoxin component",Ectopseudomonas mendocina,experimental,10.1128/jb.173.17.5315-5327.1991
,WP_196694643.1,toluene-4-monooxygenase system ferredoxin TmoC,Pseudomonas aeruginosa,putative,10.1128/jb.173.17.5315-5327.1991
,WP_218313211.1,toluene-4-monooxygenase system ferredoxin TmoC,Alteromonas antoniana,putative,10.1128/jb.173.17.5315-5327.1991
,AAB09621.1,toluene-3-monooxygenase ferredoxin protein,Ralstonia pickettii,experimental,10.1128/jb.176.12.3749-3756.1994
,CAA06656.1,ferredoxin,Pseudomonas sp. OX1,experimental,10.1021/bi500892n
tmoD_tbuV_touD,QCT24444.1,TmoD,Ectopseudomonas oleovorans,putative,10.1021/bi047459g
,WP_196694644.1,toluene-4-monooxygenase system effector TmoD,Pseudomonadaceae,putative,10.1021/bi047459g
,Q00459,"Toluene-4-monooxygenase system, effector component",Ectopseudomonas mendocina,experimental,10.1021/bi047459g
,WP_196694644.1,toluene-4-monooxygenase system effector TmoD,Pseudomonas aeruginosa,putative,10.1128/JB.173.17.5315-5327.1991
,WP_354410008.1,toluene-4-monooxygenase system effector TmoD,unclassified Marinobacterium,putative,10.1128/JB.173.17.5315-5327.1991
,2BF3_A Chain A,"Chain A, TOLUENE-4-MONOOXYGENASE SYSTEM PROTEIN D",Ectopseudomonas mendocina,experimental,10.1021/bi047459g
